call_count,name,unmangled_name,TU,qualifiers,cycle_id,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file,module,model_type,model_file
5,printf,"int printf(char const * restrict, ...)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
2,exit,"void exit(int)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
2,free,"void free(void *)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
2,malloc,"void * malloc(size_t)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
2,not_numeric,"int not_numeric(char)",2,,-1,generic,No_Model,None,security,No_Model,None,concurrency,No_Model,None,symbian,No_Model,None,stack_use,No_Model,None,uninit,No_Model,None,ptr_arith,No_Model,None,exceptions,No_Model,None,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
2,scanf,"int scanf(char const * restrict, ...)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
2,sqrt,"double sqrt(double)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
1,Sieve,"void Sieve(int *, int)",1,,-1,generic,No_Model,None,security,No_Model,None,concurrency,No_Model,None,symbian,No_Model,None,stack_use,No_Model,None,uninit,No_Model,None,ptr_arith,No_Model,None,exceptions,No_Model,None,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
1,atof,"double atof(char const *)",-1,,-1,generic,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,security,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,concurrency,No_Model,None,symbian,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,stack_use,No_Model,None,uninit,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,ptr_arith,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,exceptions,Builtin_Model,/home/vivotek/local/coverity/analysis/config/builtin-models.db,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
1,get_worktime,"int get_worktime(char *)",2,,-1,generic,No_Model,None,security,No_Model,None,concurrency,No_Model,None,symbian,No_Model,None,stack_use,No_Model,None,uninit,No_Model,None,ptr_arith,No_Model,None,exceptions,No_Model,None,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
0,main,"int main(void)",2,,-1,generic,No_Model,None,security,No_Model,None,concurrency,No_Model,None,symbian,No_Model,None,stack_use,No_Model,None,uninit,No_Model,None,ptr_arith,No_Model,None,exceptions,No_Model,None,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
0,main,"int main(void)",1,,-1,generic,No_Model,None,security,No_Model,None,concurrency,No_Model,None,symbian,No_Model,None,stack_use,No_Model,None,uninit,No_Model,None,ptr_arith,No_Model,None,exceptions,No_Model,None,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
0,main,"void main(void)",3,,-1,generic,No_Model,None,security,No_Model,None,concurrency,No_Model,None,symbian,No_Model,None,stack_use,No_Model,None,uninit,No_Model,None,ptr_arith,No_Model,None,exceptions,No_Model,None,dataflow,No_Model,None,dataflow_jsp_tags,No_Model,None
